GKGRECORDID,DATE,first_sentence
20150305000000-2276,2015-03-05,"The boss of Legal & General has backed calls for a flat rate of pension tax relief, arguing this would create a fairer system for lower earners."
20150305000000-26,2015-03-05,The outgoing boss of Standard Chartered has waived his bonus for the first time in 13 years after profits slumped 30 per cent.
20150305000000-285,2015-03-05,Professional punters on both sides of the Atlantic are still hooked on drugs.
20150305000000-315,2015-03-05,"Private equity tycoon Jon Moulton, who was behind the collapse of courier firm City Link, has blamed the drivers who lost their jobs for their own misfortune."
20150305141500-1218,2015-03-05,Virgin Money staff were celebrating their second bonus in a year today after the challenger bank announced bumper profits in its first set of results as a publicly-listed company.
20150305141500-1674,2015-03-05," The FTSE 100 finished up 41.90 points at 6961.14, hitting a new record closing high as traders reacted to news that the European Central Bank would kick off its €1trillion government bond-buying programme next Monday."
20150305141500-2074,2015-03-05,Aerospace and defence engineer Cobham today posted an 81 per cent fall in annual pretax profits knocked by on-off costs associated with a big US acquisition as well as problems in military and security markets which were only partially offset by a growing civilian business.
20150305190000-1455,2015-03-05,The boss of the London Stock Exchange is eyeing up a fresh wave of stock market listings following the best year for floats since 2007.
20150305190000-1844,2015-03-05," The FTSE 100 finished up 41.90 points at 6961.14, hitting a new record closing high as traders reacted to news that the European Central Bank would kick off its €1trillion government bond-buying programme next Monday."
20150305190000-412,2015-03-05,Profits at blue chip motor insurer Admiral have fallen for the first time in a decade as it wrote fewer car policies in the 'highly competitive' UK market.
20150306000000-111,2015-03-06,The boss of the London Stock Exchange is looking forward to a fresh wave of stock market listings as the market enjoyed its best year for flotations since 2007.
20150306000000-1347,2015-03-06,"When Weir Group walked away from its £3.7billion bid for Finnish rock crushing group Metso last May, its shares were changing hands not far short of £26."
20150306000000-1411,2015-03-06,The European Central Bank will next week unleash a massive money printing programme - a full six years after the Bank of England had taken the initiative and launched quantitative easing in Britain.
20150306000000-214,2015-03-06,Aviva gave long-suffering shareholders a major boost on Thursday as the insurance giant raised its dividend by 30 per cent after a rise in profits.
20150306000000-442,2015-03-06,"After presiding over the first fall in profits for a decade, the boss of car insurance firm Admiral Group clearly has plenty on his mind."
20150306123000-234,2015-03-06,"Bargain sofa company DFS saw little fanfare on its return to the London stock market today after a ten year absence, only posting a small premium after being priced near the bottom of its offer range."
20150306133000-1874,2015-03-06, 5.20:The FTSE 100 finished down 49.34 points at 6911.80 as healthy US jobs data sparked worries that a rate hike across the Atlantic is getting closer.
20150306230000-2264,2015-03-06,"Fears of an imminent rise in US interest rates after February’s employment data showed the booming economy created a much larger-than-expected 295,000 jobs during the month and that the unemployment rate had dropped to 5.5 per cent, prompted an early nervy 241 point fall on Wall Street."
20150307180000-117,2015-03-07,Unilever chief executive Paul Polman received a 24 per cent pay hike for the period in which third quarter sales were the worst for four years.
20150308004500-1421,2015-03-08,"The world is running out of diamonds but the boss of De Beers, Philippe Mellier, doesn’t seem too bothered: after all, he knows a diamond is forever."
20150308031500-1212,2015-03-08,Marks & Spencer will this week launch a scheme to allow tens of thousands of its small shareholders to swap dividends for discounts.
20150308031500-280,2015-03-08,Sir Philip Green is on the verge of breaking up his Arcadia fashion empire and is thought to be just days away from announcing a deal.
20150308031500-3,2015-03-08,"The ousted chief executive of Morrisons supermarket will receive a £3million pay-off, despite presiding over a collapse in profits in the past two years."
20150308031500-837,2015-03-08,"Sir Martin Sorrell’s WPP, the world’s leading advertising agency, will report a rise in profits when it unveils its annual results tomorrow."
20150309120000-2048,2015-03-09, 17.40:The FTSE 100 finished down 35.33 points at 6876.47 as more wrangling over Greece's reform programme overshadowed the launch of QE in the eurozone.
20150309133000-210,2015-03-09,17.15 (close):Banking giant HSBC prevented the FTSE 100 Index from testing record highs today after its profits tumbled.
20150309170000-259,2015-03-09,Advertising giant WPP has posted record annual profits but warned that the upcoming UK election could severely damage business regardless of who wins.
20150309170000-996,2015-03-09,"Midatech Pharma chief executive, Jim Phillips has big ambitions for the life sciences company which listed on AIM late last year."
20150310024500-1116,2015-03-10,Fears over the collapse of the world’s biggest cement deal saw shares in industrial giant CRH begin to soften.
20150310024500-764,2015-03-10,Virgin Atlantic gained some much-needed altitude as it posted a £14million profit – its first since 2011 – after turning around a £51million loss.
20150310094500-1295,2015-03-10, 17.55:The FTSE 100 closed down 173.63 points at 6702.84 as the Greek debt drama spooked markets again and the oil price plummeted back towards $56.
20150310124500-1359,2015-03-10,Challenger bank Aldermore has seen its shares leap on its first day of conditional trading on the London Stock Exchange even after its offer price was set near the top of an initial market range.
20150310124500-646,2015-03-10,"Online grocer Ocado enjoyed a sales boost in its first quarter, with retail revenues rising 15.2 per cent to £252million in the 12 weeks to 22 February."
20150311024500-105,2015-03-11,More than £1.3billion was wiped off the value of Prudential as the insurance giant announced its long serving boss Tidjane Thiam is to step down.
20150311024500-1369,2015-03-11,MPs have slammed the City watchdog for failing to ensure small businesses mis-sold complex interest rate swaps are properly compensated.
20150311024500-1397,2015-03-11,Chairman Geoff Morrow must have been all shook up when shares of investment company Gate Ventures soared 55 per cent on their AIM debut.
20150311024500-1816,2015-03-11,"G4S has still not regained the Government’s confidence after a string of blunders scarred its reputation, the security giant’s boss admitted."
20150311024500-2081,2015-03-11,"Luxury investment firm House of Britannia – which owns Cornella James, glove maker to the Queen – is floating on the smaller GXG market ahead of an eventual listing on AIM."
20150311024500-2165,2015-03-11,George Osborne received a double boost ahead of the Budget last night as the outlook for the economy and the public finances picked up.
20150311024500-2203,2015-03-11,The City watchdog is investigating Lloyds after a leaked internal email raised fresh concerns about its high pressure sales culture.
20150311024500-260,2015-03-11,Embattled Antofagasta has been ordered to knock down a dam it built in the latest blow to the Chilean copper miner.
20150311024500-331,2015-03-11,One of the first actions of Paul Manduca when he took the helm at the Prudential in 2012 was to call in boardroom hiring specialists Egon Zehnder.
20150311024500-47,2015-03-11,Ocado has seen a big rise in sales and is planning a major investment programme despite a tough environment for retailers.
20150311100000-293,2015-03-11,17.30:Blue-chip shares staged a muted recovery today after stock market jitters forced a £44billion correction in the value of the FTSE 100 Index in the previous session.
20150311113000-2601,2015-03-11,"Around 130 Lloyds branch managers and regional bosses will be dispatched to Villa Park, home of Aston Villa football club, next Tuesday."
20150311114500-1643,2015-03-11,Sterling surged yet again versus the euro today to more than €1.42 to the pound as the single currency continues to suffer from the eurozone political crisis over Greece's bailout.
20150311151500-1018,2015-03-11,"Political uncertainty caused by the upcoming election and talk of a mansion tax has scared rich property buyers into delaying buying houses in central London, estate agent Foxtons said today."
20150311161500-223,2015-03-11,Manchester-based online fashion retailer Boohoo.com and plus-sized peer N Brown experienced contrasting fortunes on the London stock market today following trading updates.
20150312021500-1103,2015-03-12,Peter Spencer will not give George Osborne marks out of ten – but instead says the Chancellor deserves ‘two cheers’ for his stewardship of the British economy.
20150312021500-1559,2015-03-12,Estate agent Foxtons yesterday warned that the housing market will ‘remain subdued’ until after the General Election as it declared 2014 was a year of ‘contrasting halves’.
20150312021500-1604,2015-03-12,"Pharmaceuticals group Hikma disappointed investors with a slowdown in sales growth for 2015, prompting an 8 per cent fall in its shares during early trading."
20150312021500-1963,2015-03-12,Founder and former boss Sir Bill Gammell stepped down as chairman from Cairn Energy a year ago when the spectre of an unresolved tax dispute in India continued to hang over the company he founded more than 30 years ago.
20150312021500-692,2015-03-12,The British industrial champion behind supermarket bar codes and bingo tickets is to be snapped up by an overseas rival.
20150312021500-728,2015-03-12,Defence giant BAE Systems has snapped up £257million of Government funding for the final stage of work designing the next generation nuclear submarine for the Royal Navy.
20150312021500-914,2015-03-12,Plus-sized fashion retailer N Brown blamed a continued hangover from autumn’s unseasonably warm weather for its second profit warning in six months.
20150312094500-380,2015-03-12,"CLOSE:The FTSE 100 recorded a second day on the up after recent heavy losses, with TSB shares rocketing 23 per cent on bid talk."
20150312120000-187,2015-03-12,Embattled train operator First Group has poached the boss of product testing giant Intertek to become its new chairman.
20150312120000-2370,2015-03-12,"Spanish bank Sabadell has tabled a £1.7billion bid to takeover TSB, the self-styled British local banking champion spun out of Lloyds and floated on the stock market last summer."
20150312130000-1806,2015-03-12,Employee-owned retail group John Lewis Partnership has cut its bonus payout to staff to 11 per cent of salary after the eponymous department stores to Waitrose supermarkets firm reported a 9 per cent fall in profits.
20150312161500-1465,2015-03-12,"Multiplex owner Cineworld has doubled annual pretax profits thanks to blockbuster films including The Lego Movie, Inbetweeners 2 and Dawn of the Planet of the Apes, which together grossed £100.4million in 12 months."
20150312164500-2791,2015-03-12,Shares inASOSjumped more than 17 per cent as the online fashion retailer reported strong sales growth in the UK and an improved performance in its international markets after a difficult 2014.
20150313021500-1064,2015-03-13,"Luxury bag-maker Mulberry has finally landed a new boss, naming fashion veteran Thierry Andretta as its new chief executive to head its recovery."
20150313021500-1596,2015-03-13,An armada of acquisitions has seen British companies from airports to power giants land in the hands of Spanish owners.
20150313021500-1758,2015-03-13,The boss of Serco will give up his bonus after the Government contractor plunged to a £1.4billion loss amid financial hits and a major fundraising from shareholders.
20150313021500-2047,2015-03-13,The boss of Shell has received a pay package of almost £20million for a year in which the oil price slumped and the group cut jobs in the UK.
20150313021500-2217,2015-03-13,"Multiplex owner Cineworld has doubled annual profits on the back of blockbuster films including The Lego Movie, Inbetweeners 2 and Dawn of the Planet of the Apes, which together took £100.4million in 12 months."
20150313021500-414,2015-03-13,"Still trading more than £10 a share below US drugs giant Pfizer’s proposed takeover price, much to the chagrin of many small shareholders, AstraZeneca became popular ahead of this weekend’s American College of Cardiology meeting in California."
20150313021500-490,2015-03-13,Waitrose boss Mark Price warned the grocery sector is set for ten years of turmoil as supermarkets play catch up with changing shopping habits.
20150313021500-629,2015-03-13,"For many people, TSB is still remembered for its 1980s slogan: The bank that likes to say ‘Yes’."
20150313021500-828,2015-03-13,The new chairman of Morrisons has slammed the brakes on growing its network of convenience stores after the supermarket posted its worst annual profit in eight years.
20150313100000-1614,2015-03-13,Shares inHome Retailfell by 9 per cent today after the stores group revealed tumbling sales at its Argos chain due to weaker demand for video games and high-end televisions amid a tougher market for consumer electronics.
20150313100000-406,2015-03-13,"17.25:The FTSE 100 Index ended a rollercoaster week in the red today as more oil price weakness and the latest political intervention by Labour party leader Ed Miliband hit energy stocks.17.25: London's top-flight closed 20.5 points lower at 6740.6, or 2.5 per cent off its level when trading ended last Friday."
20150313220000-2257,2015-03-13,Wetherspoon's has unleashed a price war to win more breakfast customers.
20150313220000-2411,2015-03-13,"Sainsbury’s is set for more pain as the supermarket price war takes its toll on Britain’s third largest grocer, which is expected to post a fifth successive quarter of falling sales."
20150313220000-79,2015-03-13,"George Osborne has had a torrid five years as Chancellor and potentially the Budget he delivers on Wednesday could be his last if the Tories lose, or if the Prime Minister decides to shift him in a post-election reshuffle."
20150313220000-940,2015-03-13,Embattled Afren has struck an emergency deal with its lenders to remain afloat in a move that will see its shareholders all but wiped out.
20150313220000-964,2015-03-13,"For the many Footsie firms with massive exposure to oil, it couldn’t have been worse news."
20150313223000-788,2015-03-13,"The property developer who has tabled an offer for Britain’s oldest department store chain at a 48 per cent discount to its closing share price, has amassed support from 71.21 per cent of the voting shareholders."
20150314231500-762,2015-03-14,Bosses often make exaggerated claims for the quality of their products.
20150315021500-1225,2015-03-15,Fashion group Joules saw profits leap by 23 per cent last year and it hopes for a further boost after the Duke and Duchess of Cambridge carried one of their bags on their recent holiday to Mustique.
20150315021500-1273,2015-03-15,Next will this week announce its biggest ever profit when it unveils its annual results on Thursday.
20150315021500-283,2015-03-15,A British firm that helps make parts for the Airbus A320 neo has secured £3.1million of investment.
20150315021500-831,2015-03-15,"The entrepreneurs behind a new self-service currency-exchange kiosk that allows customers to convert unwanted foreign currency into sterling, euros or US dollars, have raised nearly £100,000 more than their £275,000 target in seed funding – in just eight days."
20150315021500-957,2015-03-15,"Business Secretary Vince Cable has backed Spanish bank Sabadell’s £1.7 billion bid for TSB, saying the deal could provide a much-needed boost to small business lending."
20150315021500-96,2015-03-15,"Sir Martin Sorrell, boss of the world’s biggest advertising group WPP, is facing investor and political fury after it emerged that his pay package was likely to be almost £36million last year."
20150315021500-987,2015-03-15,Sir Philip Green demanded written assurances from the new owner of BHS that it would not asset-strip the 180-strong department-store chain.
20150315224500-868,2015-03-15,"There have been plenty of legendary investors in the US, but here in Britain we have only one: Neil Woodford."
20150316021500-135,2015-03-16,Alliance Trust supremo Katherine Garrett-Cox is facing a campaign by aggressive US hedge fund Elliott Advisors to shake up her £3.6billion investment trust.
20150316021500-717,2015-03-16,George Osborne is expected to unveil tax breaks for the North Sea in this week's budget with incentives to encourage investment in the sector and a possible cut in the headline rate of tax.
20150316100000-613,2015-03-16,17.30:Supermarket rivals Sainsbury's and Tesco helped the FTSE 100 Index return to positive territory as the London market looked to recover from its worst week of the year so far.
20150316170000-1039,2015-03-16,The chairman of online electrical appliances retailer AO World has sold the majority of his shares in firm just a month after it issued a profit warning.
20150316170000-2884,2015-03-16,A £33billion mega-merger to create the world’s largest cement maker has broken down after one of the parties demanded better terms.
20150316224500-1419,2015-03-16,Sir Philip Green’s announcement last week that he is selling BHS for a nominal £1 to an obscure buyer called Retail Acquisitions has created bafflement among followers of the veteran tycoon.
20150316224500-1600,2015-03-16,Britain’s troubled supermarkets made the running in London on Monday as investors hunted down bargains in the wake of the stock market’s worst week so far this year.
20150316231500-977,2015-03-16,A £33billion mega-merger to create the world’s largest cement maker has broken down after one of the parties demanded better terms.
20150317103000-2175,2015-03-17,"16.55:The FTSE 100 closed the session 33.53 points higher at 6,837.61."
20150317121500-1721,2015-03-17,Fashion retailer French Connection - best know for its FCUK logo - reported yet another loss today as its boss Stephen Marks warned that trading on the high street remains tough.
20150317121500-2445,2015-03-17,Sainsbury’s posted a fifth consecutive quarter of falling sales as competition from the discounters and food price deflation hit trading and are expected to continue to do so for the rest of the year.
20150317144500-1506,2015-03-17,Shares in specialist lender OneSavings Bank jumped more than 8 per cent today after it revealed that its maiden annual profits more than doubled thanks to strong growth in its buy-to-let loan book and cost-control measures.
20150317163000-255,2015-03-17,Trinity Mirror– which publishes the Daily Mirror and the People newspapers – today confirmed it was in ‘early stage’ talks to buy assets from the owner of the Daily Express.
20150318024500-1008,2015-03-18,The EU's watchdog has accused the European Investment Bank of 'maladministration' over an investigation into Glencore's tax affairs in Zambia.
20150318064500-1246,2015-03-18,The great dividing line between the main parties as we head towards the election campaign is wealth.
20150318064500-1691,2015-03-18,Green flights are flashing for the City’s biggest flotation of the year.
20150318064500-1734,2015-03-18,"Eleven Barclays bosses have enjoyed a bumper pre-budget giveaway, receiving bonuses worth more than £16million in total."
20150318064500-1808,2015-03-18,French Connection’s boss spooked the City when he warned of tough High Street trading despite the fashion chain moving closer to making a profit.
20150318064500-354,2015-03-18,"HSBC is closing the Jersey bank accounts of foreign customers as part of a crackdown on financial crime, including money laundering and tax evasion."
20150318064500-591,2015-03-18,George Osborne will today pledge to deliver a 'truly national recovery' in his sixth and final Budget before the General Election in May.
20150318064500-660,2015-03-18,"Britain's economy is in better shape than thought just three months ago, the Office for Budget Responsibility will reveal today."
20150318091500-1287,2015-03-18,"15.15:The Footsie stormed higher in afternoon trading as the chancellor George Osborne delivered a Budget for savers, introducing a new ‘Help to Buy’ Isa which excited housing-related stocks, and confirmed a tax lifeline to the North Sea oil & gas sector, boosting energy stocks."
20150318133000-256,2015-03-18,"Energy giant SSE has been fined £100,000 after over-claiming billpayer-backed subsidies."
20150319010000-1297,2015-03-19,"Wall Street rebounded more than 300 points after the Federal Reserve removed its pledge to be ‘patient’ in respect to its first hike in US interest rates, which have been kept at a record low of close to 0 per cent, since the financial crisis in 2008."
20150319011500-145,2015-03-19,Retailers received a welcome boost as the Chancellor set out more details of the wide-ranging review into business rates.
20150319011500-2346,2015-03-19,"Accesso, which makes handheld devices that replace the need to queue at theme parks, saw a 60 per cent rise in profits after striking a deal to sell tickets to Thorpe Park owner Merlin Entertainments, online."
20150319011500-2494,2015-03-19,Britain's oil and gas industry received an ‘essential lifeline’ from the Chancellor in the shape of £1.3billion of support.
20150319011500-2524,2015-03-19,As a long suffering shareholder in Britain’s two state controlled banks – Lloyds and Royal Bank of Scotland – I have more reason than most to resent the Government’s £5.3billion tax raid on the sector.
20150319011500-386,2015-03-19,Shares in outsourcing companies shot up after it was made easier for them to win public contracts by George Osborne.
20150319011500-749,2015-03-19,Will wonders never cease?
20150319011500-824,2015-03-19,"George Osborne said he planned to increase sales of longer-maturing gilts after interest charges dropped by a hefty £35billion in the past few months, because of lower inflation and lower welfare payouts as a rising number of Britons found work."
20150319081500-405,2015-03-19,Engineering conglomerate Smith Group has become the latest firm to be hit by global currency movements as sales and profits stalled.
20150319081500-661,2015-03-19,Nat Rothschild’s struggling coal miner is one step closer to a new lease of life after bondholders agreed to a complex debt swap.
20150319093000-1749,2015-03-19,Holiday makers and thriving exports between France and the UK helped Eurotunnel report a near 90 per cent leap in profits today.
20150319100000-1647,2015-03-19,14.15:The Footsie saw its gains eroded further in mid afternoon trade after having hit a new record high in opening deals as US stocks started lower on some profit taking following a Federal Reserve-inspired leap yesterday.
20150319103000-1037,2015-03-19,"Shares in some of Britain’s biggest pub groups, brewery firms and drink-makers rose as investors toasted cuts in the price of their favourite tipples."
20150319103000-1595,2015-03-19,"The boss of BAE Systems enjoyed a 41 per cent hike to his 2014 pay, taking his total package to £3.5million despite the company’s sales and profits falling."
20150319111500-795,2015-03-19, Next chief executive Lord Wolfson has trimmed annual sales forecasts after disappointment over the performance of his current ranges.
20150319153000-1148,2015-03-19,"High Street fashion retailer Ted Baker has delivered a sparkling set of full year results, driven by strong sales over the Christmas period and its rapidly expanding e-commerce division."
20150319153000-424,2015-03-19,"The Footsie nudged closer to the elusive 7,000 landmark barrier today as investors welcomed the US Federal Reserve's caution over raising interest rates and continued to react positively to yesterday's Budget."
20150319223000-2319,2015-03-19,The 1939 US advertising campaign ‘Diamonds are Forever’ is still helping De Beers shift its precious stones in the country and pushed diamond jewellery sales to a record £55bn last year.
20150319230000-714,2015-03-19, Biopharma takeover mania continues to grip world stockmarkets.
20150320004500-2403,2015-03-20,"The political row over Britain’s shrinking defence budget, at a time when the Cameron-led Coalition has fixed the percentage spent on foreign aid, has bubbled back to the surface amid rising geopolitical tensions."
20150320080000-1396,2015-03-20,The City watchdog has claimed a major scalp in Britain’s biggest insider-trading scandal.
20150320080000-1796,2015-03-20,George Osborne was yesterday accused of a ‘pretty remarkable change in economic philosophy’ after watering down his austerity plans ahead of the General Election.
20150320080000-362,2015-03-20, Oil industry veteran and Genel Energy boss Tony Hayward has received 41.5 per cent hike in his pay and perks package despite the firm’s £213m loss last year.
20150320101500-718,2015-03-20,EnQuest is the latest oil explorer to write down millions in the face of the tumbling oil price but said it will be boosted by Budget tax breaks.
20150320104500-406,2015-03-20,"15.15:The FTSE 100 Index jumped above the 7,000-mark today for the first time in its history, reaching an all-time peak of 7,017.44, and looking set to record a closing high above the psychologically-important level."
20150320110000-1304,2015-03-20,"Luxury shoe brand Jimmy Choo narrowed its losses as it stepped up its Asian expansion, the recently-listed firm revealed today."
20150320120000-2562,2015-03-20, Challenger bank TSB has insisted it will have more firepower to ‘break the stranglehold’ of the high street giants after agreeing a £1.7bn takeover bid from Spanish lender Sabadell.
20150320141500-321,2015-03-20,"Discount supermarket Aldi is preparing to trial its first online grocery store in the UK, a German industry journal reported today, although the company played down the suggestion."
20150320224500-1692,2015-03-20,"The blue-chip index of leading shares rose above the 7000 level for the first time in history, as a well-received budget and developments from the US Federal Reserve drove investor optimism to historic highs."
20150320224500-232,2015-03-20," London's blue-chip FTSE 100 index smashed through the psychologically important 7,000 point mark for the first time and closed at its highest point in history."
20150320224500-969,2015-03-20,"It was a largely stock market-friendly Budget from George Osborne which helped push the Footsie to an all-time high, above 7,000 points."
20150321004500-283,2015-03-21,Alliance Trust warns that a boardroom shake-up being planned by a US activist investor would threaten the company’s survival.
20150321004500-785,2015-03-21,"A former British Gas boss criticised for his ‘lavish’ windfalls has been put in charge of pay at HSBC, writes Peter Campbell."
20150321114500-134,2015-03-21,Shares in British cement giant CRH received a boost after its two biggest rivals agreed to a £33bn mega-merger.
20150321143000-126,2015-03-21,Constable Dogberry in Shakespeare’s Much Ado About Nothing mangles every word he utters - and so do many business leaders.
20150322001500-27,2015-03-22,Billion-pound online shopping group N Brown has restructured its operating board after a profit warning that saw its shares fall last month.
20150322001500-477,2015-03-22,Oil investment company Highlands Natural Resources will join the main London stock market this week with a plan to snap up bargain-price oil wells.
20150322001500-548,2015-03-22,Two top executives who quit B&Q owner Kingfisher in an overhaul of the group’s management will receive payoffs totalling almost £5million.
20150322001500-625,2015-03-22,"Creditors owed cash following the collapse of the restaurant run by MasterChef host Gregg Wallace have received just 38p for every pound they were owed, according to liquidators."
20150322001500-736,2015-03-22,The new owner of department store BHS is talking to top suppliers and credit insurers in a bid to place the business on a sure footing after this month’s surprise acquisition from Sir Philip Green.
20150322231500-421,2015-03-22,Embattled infrastructure giant Balfour Beatty is expected to fall into the red this week following a year in which it issued four profits warnings.
20150323114500-1377,2015-03-23, 17.40:The FTSE 100 finished up 15.16 points at 7037.67 - topping last week's all-time closing high to set a fresh record.
20150323120000-453,2015-03-23, Halfords supersized its search for a new boss with the appointment of McDonald’s head of UK and Northern European operations as its next chief executive.
20150323193000-875,2015-03-23,Investors have sold off the pound again today amid fears that the UK economy is slowing ahead of the upcoming General Election in May and on the prospect of deflation taking hold in the world's sixth largest economy.
20150323224500-1422,2015-03-23, Banks were the focus in the City yesterday as chatter emerged that Chancellor George Osborne’s plan to raise the bank levy could lead to Standard Chartered and HSBC quitting London.
20150323224500-451,2015-03-23," More people should have been prosecuted for having Swiss bank accounts with HSBC, a controversial former tax chief at HMRC has said."
20150323230000-2224,2015-03-23,"Deep inside a large warehouse on an industrial estate in North-West London is a full-sized supermarket, a pub, and a cash-and-carry."
20150323230000-2697,2015-03-23,Politicians probing the collapse of City Link have called for changes in insolvency laws after it emerged it is cheaper for firms to ‘break the law’ and pay a fine than to comply with legal requirements to consult staff.
20150324080000-1417,2015-03-24,Fever-Tree toasted a buoyant 2014 with sales and profits rising as the company strengthened its market share.
20150324080000-478,2015-03-24,The US telecoms goliath behind Virgin Media has ruled out a takeover of ITV – but says it wants to work more closely with the broadcaster.
20150324081500-745,2015-03-24, George Osborne yesterday admitted that Britain does not export enough after orders from overseas fell at the fastest pace for more than two years.
20150324084500-480,2015-03-24,State-backed Royal Bank of Scotland has announced plans to reduce its stake in US bank Citizens by nearly a quarter as it continues to shift its focus back towards its UK retail and commercial market.
20150324094500-1126,2015-03-24,Dairy Crest’s planned disposal of its milk business to German yoghurt giant Müller has been called in by Britain’s competition watchdog.
20150324094500-1845,2015-03-24," 17.40:The FTSE 100 finished down 17.99 points at 7019.68 as confidence seeped away after the index set a new trading record of 7,065.08 earlier in the day."
20150324124500-2118,2015-03-24,Profits at blue chip plumbing giant Wolseley fell by two thirds after the group took a £245million financial hit from the value of its Nordic operations.
20150324173000-1772,2015-03-24,"David Potts, the new boss of struggling supermarket chain William Morrison has moved to clear the decks at the blue chip group by ditching five members of its management team."
20150325014500-1091,2015-03-25, An absolute tidal wave of mergers in biotechs over the past year or so – where smaller firms have been acquired by cash-rich major drug companies looking for a new source of growth – shows no signs of abating.
20150325014500-1436,2015-03-25,The boss of the City watchdog faces a growing backlash from Westminister with Treasury ministers and MPs raising ‘serious doubts’ about his leadership.
20150325014500-1528,2015-03-25,UK inflation is dead.
20150325014500-663,2015-03-25,"The number of women in City boardrooms has nearly doubled in four years, with almost a quarter of FTSE 100 board positions filled by females – but campaigners are calling for more to be done."
20150325081500-1151,2015-03-25,Mitie has been forced to begin a review into one part of its home care business after facing allegations over the way it treated its workers.
20150325090000-27,2015-03-25,The Morrisons director who recruited Ant & Dec to front the grocer’s ad campaign is among five executives chopped as part of a dramatic boardroom cull.
20150325094500-1232,2015-03-25, 17.20:The FTSE 100 finished down 28.71 points at 6990.97 after Greece became embroiled in a new row with its euro partners and was given a Monday deadline to firm up reform plans.
20150326033000-1406,2015-03-26,"If US hedge fund Elliott Advisors thought Katherine Garrett-Cox would be a pushover when they launched their campaign to shake up the £3.6billion investment trust she runs, they got the wrong woman."
20150326033000-1547,2015-03-26,Unimpressed fund managers had probably seen Moneysupermarket.com Dave's Epic strut ad on the TV.
20150326033000-217,2015-03-26,BT has 'laid down the gauntlet' to rivals by launching its own mobile service a year before its £12.5billion takeover of EE has completed.
20150326033000-218,2015-03-26,The world's most famous ketchup and baked beans-maker is set to merge with fellow American processed food behemoth Kraft Foods in a £70billion mega-deal backed by investment guru Warren Buffett.
